module params = {'target_node': 'riak@127.0.0.1', 'config_dir': '/etc/riak', 'wait_for_service': 'kv', 'http_conn': '127.0.0.1:8098', 'wait_for_ring': False, 'wait_for_handoffs': False, 'command': None, 'validate_certs': True} 
          4232 function calls (4095 primitive calls) in 10.726 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   10.725   10.725 /home/vagrant/.ansible/tmp/ansible-tmp-1413486469.53-130853672476243/riak:115(maind)
        3    0.000    0.000   10.608    3.536 /home/vagrant/.ansible/tmp/ansible-tmp-1413486469.53-130853672476243/riak:1404(run_command)
        3    0.000    0.000   10.604    3.535 /usr/lib/python2.7/subprocess.py:723(communicate)
        3    0.000    0.000   10.604    3.535 /usr/lib/python2.7/subprocess.py:1303(_communicate)
        3    0.000    0.000   10.604    3.535 /usr/lib/python2.7/subprocess.py:1336(_communicate_with_poll)
        9   10.603    1.178   10.603    1.178 {built-in method poll}
        1    0.000    0.000    0.365    0.365 /home/vagrant/.ansible/tmp/ansible-tmp-1413486469.53-130853672476243/riak:107(ring_check)
        1    0.000    0.000    0.116    0.116 /home/vagrant/.ansible/tmp/ansible-tmp-1413486469.53-130853672476243/riak:1836(fetch_url)
        1    0.000    0.000    0.112    0.112 /usr/lib/python2.7/urllib2.py:122(urlopen)
        1    0.000    0.000    0.112    0.112 /usr/lib/python2.7/urllib2.py:382(open)
        1    0.000    0.000    0.111    0.111 /usr/lib/python2.7/urllib2.py:410(_open)
        2    0.000    0.000    0.111    0.056 /usr/lib/python2.7/urllib2.py:370(_call_chain)
        1    0.000    0.000    0.111    0.111 /usr/lib/python2.7/urllib2.py:1206(http_open)
        1    0.000    0.000    0.111    0.111 /usr/lib/python2.7/urllib2.py:1132(do_open)
        1    0.000    0.000    0.106    0.106 /usr/lib/python2.7/httplib.py:994(getresponse)
        1    0.000    0.000    0.106    0.106 /usr/lib/python2.7/httplib.py:400(begin)
        7    0.000    0.000    0.105    0.015 /usr/lib/python2.7/socket.py:406(readline)
        1    0.000    0.000    0.105    0.105 /usr/lib/python2.7/httplib.py:363(_read_status)
        2    0.105    0.053    0.105    0.053 {method 'recv' of '_socket.socket' objects}
        1    0.000    0.000    0.005    0.005 /usr/lib/python2.7/httplib.py:956(request)
        1    0.000    0.000    0.005    0.005 /usr/lib/python2.7/httplib.py:977(_send_request)
        1    0.000    0.000    0.005    0.005 /usr/lib/python2.7/httplib.py:941(endheaders)
        1    0.000    0.000    0.005    0.005 /usr/lib/python2.7/httplib.py:799(_send_output)
        1    0.000    0.000    0.005    0.005 /usr/lib/python2.7/httplib.py:772(send)
        3    0.000    0.000    0.005    0.002 /usr/lib/python2.7/socket.py:223(meth)
        1    0.004    0.004    0.004    0.004 {method 'sendall' of '_socket.socket' objects}
        3    0.000    0.000    0.003    0.001 /usr/lib/python2.7/subprocess.py:619(__init__)
       12    0.000    0.000    0.003    0.000 /usr/lib/python2.7/re.py:188(compile)
       12    0.000    0.000    0.003    0.000 /usr/lib/python2.7/re.py:226(_compile)
        3    0.000    0.000    0.003    0.001 /usr/lib/python2.7/subprocess.py:1111(_execute_child)
        7    0.000    0.000    0.003    0.000 /usr/lib/python2.7/sre_compile.py:495(compile)
        1    0.000    0.000    0.002    0.002 /home/vagrant/.ansible/tmp/ansible-tmp-1413486469.53-130853672476243/riak:404(get_distribution)
        1    0.000    0.000    0.002    0.002 /usr/lib/python2.7/platform.py:1299(system)
        1    0.000    0.000    0.002    0.002 /usr/lib/python2.7/platform.py:1162(uname)
        1    0.000    0.000    0.002    0.002 /usr/lib/python2.7/platform.py:1018(_syscmd_uname)
        6    0.000    0.000    0.002    0.000 /usr/lib/python2.7/subprocess.py:475(_eintr_retry_call)
        9    0.002    0.000    0.002    0.000 {posix.read}
        7    0.000    0.000    0.002    0.000 /usr/lib/python2.7/sre_parse.py:663(parse)
        1    0.002    0.002    0.002    0.002 {method 'read' of 'file' objects}
     25/7    0.000    0.000    0.002    0.000 /usr/lib/python2.7/sre_parse.py:301(_parse_sub)
     26/7    0.001    0.000    0.002    0.000 /usr/lib/python2.7/sre_parse.py:379(_parse)
        1    0.000    0.000    0.002    0.002 /home/vagrant/.ansible/tmp/ansible-tmp-1413486469.53-130853672476243/riak:462(__init__)
        1    0.000    0.000    0.001    0.001 /home/vagrant/.ansible/tmp/ansible-tmp-1413486469.53-130853672476243/riak:1104(_log_invocation)
        7    0.000    0.000    0.001    0.000 /usr/lib/python2.7/sre_compile.py:480(_code)
        1    0.000    0.000    0.001    0.001 /usr/lib/python2.7/urllib2.py:450(build_opener)
     46/7    0.000    0.000    0.001    0.000 /usr/lib/python2.7/sre_compile.py:32(_compile)
        9    0.000    0.000    0.001    0.000 /usr/lib/python2.7/urllib2.py:319(add_handler)
        1    0.000    0.000    0.001    0.001 /usr/lib/python2.7/urllib2.py:717(<lambda>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python2.7/urllib2.py:720(proxy_open)
        3    0.001    0.000    0.001    0.000 {posix.fork}
        1    0.000    0.000    0.001    0.001 /usr/lib/python2.7/urllib2.py:195(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/urllib.py:1165(splittag)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/httplib.py:754(connect)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/socket.py:537(create_connection)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/urllib2.py:1103(do_request_)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/urllib.py:1357(proxy_bypass_environment)
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/urllib2.py:257(get_host)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/urllib.py:1077(splithost)
        1    0.000    0.000    0.000    0.000 {method 'connect' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/urllib.py:1119(splitport)
        7    0.000    0.000    0.000    0.000 /usr/lib/python2.7/sre_compile.py:361(_compile_info)
        1    0.000    0.000    0.000    0.000 {posix.popen}
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/urllib2.py:634(_parse_proxy)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/urllib.py:1094(splituser)
      165    0.000    0.000    0.000    0.000 /usr/lib/python2.7/sre_parse.py:201(get)
    65/26    0.000    0.000    0.000    0.000 /usr/lib/python2.7/sre_parse.py:140(getwidth)
      217    0.000    0.000    0.000    0.000 /usr/lib/python2.7/sre_parse.py:182(__next)
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/urllib.py:1063(splittype)
        3    0.000    0.000    0.000    0.000 /usr/lib/python2.7/urllib2.py:250(get_type)
        9    0.000    0.000    0.000    0.000 {dir}
        2    0.000    0.000    0.000    0.000 /home/vagrant/.ansible/tmp/ansible-tmp-1413486469.53-130853672476243/riak:1194(get_bin_path)
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/shlex.py:274(split)
        9    0.000    0.000    0.000    0.000 /usr/lib/python2.7/subprocess.py:1085(pipe_cloexec)
       14    0.000    0.000    0.000    0.000 /usr/lib/python2.7/sre_parse.py:72(opengroup)
      171    0.000    0.000    0.000    0.000 /usr/lib/python2.7/sre_parse.py:130(__getitem__)
        6    0.000    0.000    0.000    0.000 /usr/lib/python2.7/sre_compile.py:178(_compile_charset)
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/json/__init__.py:281(loads)
        3    0.000    0.000    0.000    0.000 /usr/lib/python2.7/subprocess.py:1027(_get_handles)
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/json/decoder.py:361(decode)
        6    0.000    0.000    0.000    0.000 /usr/lib/python2.7/subprocess.py:1347(close_unregister_and_remove)
        7    0.000    0.000    0.000    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.000    0.000 /home/vagrant/.ansible/tmp/ansible-tmp-1413486469.53-130853672476243/riak:1087(_load_params)
        1    0.000    0.000    0.000    0.000 {syslog.syslog}
        6    0.000    0.000    0.000    0.000 /usr/lib/python2.7/genericpath.py:15(exists)
        6    0.000    0.000    0.000    0.000 /usr/lib/python2.7/sre_compile.py:207(_optimize_charset)
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/json/decoder.py:372(raw_decode)
       18    0.000    0.000    0.000    0.000 /usr/lib/python2.7/subprocess.py:1072(_set_cloexec_flag)
        8    0.000    0.000    0.000    0.000 {posix.stat}
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/mimetools.py:24(__init__)
        5    0.000    0.000    0.000    0.000 /usr/lib/python2.7/shlex.py:268(next)
      505    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        5    0.000    0.000    0.000    0.000 /usr/lib/python2.7/shlex.py:88(get_token)
       36    0.000    0.000    0.000    0.000 {fcntl.fcntl}
        5    0.000    0.000    0.000    0.000 /usr/lib/python2.7/shlex.py:120(read_token)
      137    0.000    0.000    0.000    0.000 /usr/lib/python2.7/sre_parse.py:195(match)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/rfc822.py:88(__init__)
        6    0.000    0.000    0.000    0.000 {posix.fdopen}
        3    0.000    0.000    0.000    0.000 /usr/lib/python2.7/subprocess.py:1286(wait)
      2/1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/socket.py:336(read)
      232    0.000    0.000    0.000    0.000 {isinstance}
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/urlparse.py:129(urlparse)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/httplib.py:234(readheaders)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/platform.py:295(linux_distribution)
       18    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/httplib.py:532(read)
        6    0.000    0.000    0.000    0.000 /usr/lib/python2.7/re.py:268(_subx)
  673/652    0.000    0.000    0.000    0.000 {len}
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/urllib2.py:710(__init__)
        6    0.000    0.000    0.000    0.000 /usr/lib/python2.7/re.py:248(_compile_repl)
        1    0.000    0.000    0.000    0.000 {method 'encode' of 'unicode' objects}
        7    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
      104    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
       11    0.000    0.000    0.000    0.000 {_bisect.insort}
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/urlparse.py:160(urlsplit)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/encodings/__init__.py:71(search_function)
       19    0.000    0.000    0.000    0.000 /usr/lib/python2.7/sre_compile.py:354(_simple)
       11    0.000    0.000    0.000    0.000 /home/vagrant/.ansible/tmp/ansible-tmp-1413486469.53-130853672476243/riak:1450(<genexpr>)
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/sre_parse.py:691(parse_template)
        3    0.000    0.000    0.000    0.000 {posix.waitpid}
       67    0.000    0.000    0.000    0.000 /usr/lib/python2.7/sre_parse.py:138(append)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/urllib.py:1341(getproxies_environment)
      107    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        3    0.000    0.000    0.000    0.000 /usr/lib/python2.7/socket.py:276(close)
      155    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       18    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/shlex.py:23(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/urllib2.py:177(request_host)
        7    0.000    0.000    0.000    0.000 {_sre.compile}
        8    0.000    0.000    0.000    0.000 /usr/lib/python2.7/pipes.py:267(quote)
        1    0.000    0.000    0.000    0.000 {_socket.getaddrinfo}
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/socket.py:285(__del__)
       12    0.000    0.000    0.000    0.000 {posix.close}
        9    0.000    0.000    0.000    0.000 /usr/lib/python2.7/sre_parse.py:178(__init__)
        9    0.000    0.000    0.000    0.000 {posix.pipe}
       95    0.000    0.000    0.000    0.000 {min}
       46    0.000    0.000    0.000    0.000 /usr/lib/python2.7/sre_parse.py:90(__init__)
        6    0.000    0.000    0.000    0.000 /usr/lib/python2.7/subprocess.py:1343(register_and_append)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/httplib.py:335(__init__)
        4    0.000    0.000    0.000    0.000 {method 'decode' of 'str' objects}
       83    0.000    0.000    0.000    0.000 /usr/lib/python2.7/sre_parse.py:126(__len__)
       18    0.000    0.000    0.000    0.000 /usr/lib/python2.7/urllib2.py:499(__lt__)
        1    0.000    0.000    0.000    0.000 /home/vagrant/.ansible/tmp/ansible-tmp-1413486469.53-130853672476243/riak:1174(_set_cwd)
       36    0.000    0.000    0.000    0.000 {hasattr}
        3    0.000    0.000    0.000    0.000 {posix.chdir}
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/httplib.py:516(close)
        1    0.000    0.000    0.000    0.000 /home/vagrant/.ansible/tmp/ansible-tmp-1413486469.53-130853672476243/riak:859(_check_locale)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/httplib.py:820(putrequest)
        6    0.000    0.000    0.000    0.000 /usr/lib/python2.7/posixpath.py:60(join)
